adjective,female,confidence
passionate,0,0.9867
passionate,0,0.9873
passionate,0,0.9873
passionate,0,0.9863
passionate,0,0.987
passionate,0,0.9856
passionate,0,0.987
passionate,0,0.9871
passionate,0,0.9872
passionate,0,0.987
passionate,0,0.9866
passionate,0,0.9869
passionate,0,0.9865
passionate,0,0.9876
passionate,0,0.9862
passionate,0,0.9871
passionate,0,0.9861
passionate,0,0.9797
passionate,0,0.9871
passionate,0,0.9869
passionate,0,0.9855
passionate,1,0.9773
passionate,0,0.9847
passionate,0,0.9871
passionate,0,0.9873
passionate,0,0.9873
passionate,0,0.9872
passionate,0,0.9844
passionate,0,0.9863
passionate,0,0.9869
passionate,0,0.9854
passionate,0,0.9867
passionate,0,0.9872
passionate,0,0.9866
passionate,0,0.9866
passionate,0,0.9867
passionate,0,0.9873
passionate,0,0.9866
passionate,0,0.9872
passionate,0,0.9875
passionate,0,0.9863
passionate,0,0.9878
passionate,0,0.9868
passionate,0,0.9871
passionate,0,0.9841
passionate,0,0.9874
passionate,0,0.986
passionate,1,0.9766
passionate,0,0.9868
passionate,0,0.9854
passionate,0,0.9868
passionate,0,0.9873
passionate,0,0.9836
passionate,0,0.9801
passionate,0,0.9856
passionate,0,0.9865
passionate,0,0.9849
passionate,0,0.9875
passionate,0,0.9874
passionate,0,0.9852
passionate,0,0.9869
sexually_confident,0,0.9858
sexually_confident,0,0.9856
sexually_confident,1,0.9862
sexually_confident,0,0.9871
sexually_confident,0,0.9863
sexually_confident,0,0.9851
sexually_confident,1,0.9772
sexually_confident,0,0.9869
sexually_confident,0,0.9831
sexually_confident,0,0.9848
sexually_confident,0,0.9856
sexually_confident,0,0.9853
sexually_confident,0,0.9818
sexually_confident,0,0.9876
sexually_confident,1,0.9875
sexually_confident,0,0.9869
sexually_confident,0,0.9869
sexually_confident,0,0.9859
sexually_confident,0,0.9859
sexually_confident,0,0.9859
sexually_confident,0,0.9872
sexually_confident,0,0.987
sexually_confident,0,0.9873
sexually_confident,0,0.9865
sexually_confident,1,0.9831
sexually_confident,0,0.9841
sexually_confident,0,0.9865
sexually_confident,0,0.9851
sexually_confident,0,0.9838
sexually_confident,0,0.9844
sexually_confident,0,0.9853
sexually_confident,1,0.9874
sexually_confident,0,0.9843
sexually_confident,1,0.988
sexually_confident,0,0.9863
sexually_confident,0,0.9853
sexually_confident,0,0.9866
sexually_confident,0,0.9866
sexually_confident,0,0.986
sexually_confident,1,0.9553
sexually_confident,0,0.9853
sexually_confident,0,0.9866
sexually_confident,0,0.9865
sexually_confident,1,0.9876
sexually_confident,0,0.9847
sexually_confident,0,0.9858
sexually_confident,0,0.9863
sexually_confident,0,0.987
sexually_confident,1,0.9834
sexually_confident,1,0.9867
sexually_confident,0,0.9869
sexually_confident,0,0.9853
sexually_confident,1,0.9865
sexually_confident,0,0.985
sexually_confident,0,0.9865
sexually_confident,1,0.9872
sexually_confident,1,0.987
sexually_confident,0,0.9864
sexually_confident,0,0.9843
sexually_confident,0,0.9862
sexually_confident,1,0.9825
sexually_confident,0,0.9855
sexually_confident,0,0.9873
sexually_confident,0,0.9873
sexually_confident,0,0.9879
sexually_confident,1,0.9832
sexually_confident,0,0.9859
sexually_confident,0,0.9864
sexually_confident,0,0.985
sexually_confident,0,0.9861
sexually_confident,0,0.9858
sexually_confident,0,0.9863
sexually_confident,0,0.9849
sexually_confident,1,0.9868
sexually_confident,0,0.9857
sexually_confident,0,0.986
sexually_confident,0,0.9864
sexually_confident,1,0.9865
sexually_confident,0,0.9859
sexually_confident,0,0.9843
sexually_confident,0,0.9867
sexually_confident,1,0.985
sexually_confident,0,0.9864
sexually_confident,0,0.984
sexually_confident,0,0.9856
sexually_confident,1,0.9849
sexually_confident,0,0.9869
sexually_confident,0,0.9863
sexually_confident,0,0.9869
sexually_confident,0,0.986
sexually_confident,0,0.9871
sexually_confident,0,0.9869
sexually_confident,0,0.9845
sexually_confident,0,0.9838
sexually_confident,0,0.9865
sexually_confident,0,0.9809
sexually_confident,0,0.9859
sexually_confident,1,0.9829
sexually_confident,0,0.9863
silly,0,0.9854
silly,0,0.9867
silly,0,0.9839
silly,0,0.9857
silly,0,0.9872
silly,0,0.9841
silly,1,0.9739
silly,0,0.9856
silly,0,0.9854
silly,0,0.9867
silly,0,0.9865
silly,0,0.9866
silly,1,0.9793
silly,1,0.9851
silly,0,0.9847
silly,1,0.9872
silly,0,0.9857
silly,0,0.9862
silly,0,0.9845
silly,0,0.9869
silly,0,0.9837
silly,1,0.9869
silly,0,0.987
silly,0,0.9872
silly,0,0.9871
silly,0,0.9865
silly,1,0.9803
silly,0,0.9857
silly,0,0.9832
silly,0,0.9846
silly,1,0.9815
silly,0,0.9851
silly,1,0.9862
silly,0,0.9867
silly,0,0.9872
silly,1,0.9825
silly,0,0.9861
silly,0,0.9854
silly,1,0.9855
silly,0,0.9776
silly,0,0.9842
silly,0,0.9864
silly,0,0.9871
silly,0,0.9875
silly,0,0.9831
silly,0,0.9873
silly,1,0.9856
silly,0,0.9871
silly,0,0.9756
silly,0,0.987
silly,0,0.9837
silly,0,0.9868
silly,0,0.9859
silly,1,0.9853
silly,0,0.9776
silly,0,0.9855
silly,0,0.985
silly,0,0.9875
silly,0,0.9857
silly,0,0.9863
silly,0,0.9867
silly,0,0.9846
silly,0,0.9868
silly,0,0.9871
silly,0,0.9842
silly,0,0.9874
silly,0,0.9859
silly,0,0.9872
silly,0,0.9867
silly,0,0.9644
silly,0,0.9865
silly,0,0.9873
silly,0,0.986
silly,0,0.9867
silly,1,0.978
silly,1,0.9753
silly,0,0.9875
silly,0,0.9859
silly,0,0.9871
silly,0,0.9875
silly,0,0.9875
silly,0,0.9857
silly,0,0.9871
silly,0,0.9866
silly,0,0.9874
silly,0,0.9865
silly,0,0.9861
silly,0,0.9868
silly,0,0.9864
silly,0,0.9864
silly,0,0.9863
silly,0,0.9862
silly,0,0.987
silly,0,0.9869
silly,0,0.9855
